Strategy,Start,End,Distance Taveled,Elapsed Time,Right Turns,Left Turns,
bfs,1410.413957:274.200000:784.421210,-353.000000:270.000000:64.000000,3075.600000,102.520000,34,21,
astar,-874.606175:274.200000:-368.447556,-99.000000:270.000000:-186.000000,1310.100000,43.670000,12,26,
dijkstra,622.465109:274.200000:-74.347467,-477.000000:270.000000:-186.000000,2211.300000,73.710000,18,7,
astar,-100.856483:274.200000:-182.664161,253.000000:270.000000:-336.000000,741.598865,24.719962,5,11,
bfs,-351.866046:274.200000:60.340738,1069.000000:270.000000:-419.000000,2218.798865,73.959962,14,12,
astar,249.347634:274.200000:-334.517924,547.000000:270.000000:-70.000000,772.800000,25.760000,9,15,
bfs,1065.694418:274.200000:-420.744004,984.000000:270.000000:678.000000,1611.900000,53.730000,9,5,
dijkstra,-479.455876:274.200000:-189.123618,757.000000:270.000000:554.000000,2894.698865,96.489962,15,21,
astar,543.677766:274.200000:-72.023143,-468.000000:270.000000:-452.000000,1596.000000,53.200000,53,4,
bfs,986.980945:274.200000:680.359880,1166.000000:270.000000:655.000000,703.500000,23.450000,2,9,
bfs,1165.040170:274.200000:651.180648,1192.000000:270.000000:274.000000,767.100000,25.570000,10,12,
dijkstra,754.163543:274.200000:551.274507,1455.000000:270.000000:492.000000,1529.100000,50.970000,3,16,
astar,-464.757398:274.200000:-454.198701,835.000000:270.000000:-721.000000,1911.300000,63.710000,1,26,
astar,838.961674:274.200000:-721.534439,682.000000:270.000000:-730.000000,551.056748,18.368558,9,1,
bfs,1195.924746:274.200000:273.642744,1247.000000:270.000000:787.000000,1772.150248,59.071675,11,3,
dfs,296.881684:274.200000:362.139191,-115.000000:270.000000:66.000000,31512.904716,1050.430157,461,498,
astar,682.573475:274.156748:-733.883889,480.000000:270.000000:365.000000,1533.093500,51.103117,13,7,
bfs,1249.423036:274.200000:783.850542,885.000000:270.000000:162.000000,1409.400000,46.980000,3,6,
dijkstra,1453.453478:274.200000:488.416010,-932.000000:270.000000:144.000000,3310.250248,110.341675,23,9,
astar,483.842570:274.200000:364.744588,699.000000:270.000000:26.000000,839.100000,27.970000,3,4,
dijkstra,-933.719288:274.200000:147.384659,470.000000:270.000000:528.000000,2387.100000,79.570000,17,36,
bfs,882.410782:274.200000:159.082223,-933.000000:270.000000:615.000000,3167.100000,105.570000,17,8,
astar,702.479111:274.200000:24.545177,-1366.000000:270.000000:-546.000000,2886.000000,96.200000,34,7,
dijkstra,473.583100:274.200000:526.297685,490.000000:270.000000:21.000000,1189.500000,39.650000,12,18,
astar,-1363.347574:274.200000:-548.812631,-516.000000:270.000000:-210.000000,1328.115851,44.270528,2,14,
dijkstra,489.114492:274.200000:21.943473,-351.000000:270.000000:-52.000000,1307.115851,43.570528,22,9,
astar,-517.268115:274.200000:-213.604627,-1051.000000:270.000000:-617.000000,1029.600000,34.320000,13,5,
bfs,-936.768977:274.200000:616.276944,298.000000:270.000000:-230.000000,2696.715851,89.890528,11,14,
dijkstra,-351.238568:274.200000:-55.796832,355.000000:270.000000:4.000000,1171.500000,39.050000,5,23,
dijkstra,358.596434:274.200000:5.577159,381.000000:270.000000:-280.000000,536.700000,17.890000,3,3,
bfs,294.240146:274.200000:-229.147079,-178.000000:270.000000:-752.000000,1257.000000,41.900000,5,8,
bfs,-179.735595:274.200000:-748.451053,-405.000000:270.000000:-390.000000,930.300000,31.010000,11,6,
dijkstra,381.500785:274.200000:-276.131110,-262.000000:270.000000:186.000000,1327.200000,44.240000,29,12,
astar,-1050.802097:274.200000:-613.031867,1093.000000:270.000000:18.000000,3006.600000,100.220000,9,33,
bfs,-401.696914:274.200000:-391.865209,-752.000000:270.000000:-536.000000,1324.800000,44.160000,14,5,
